"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.218881875E0,3.000046466E-3,5.827325983E-3,2.122188449E-2,2.221095199E-2
1.228913875E0,4.705085414E-3,5.409853058E-3,5.803946257E-3,9.224431203E-3
1.238945875E0,3.947368492E-3,-1.186418328E-3,1.553371310E-2,1.607126470E-2
1.248977875E0,-1.228052331E-3,3.094437886E-3,1.149328709E-2,1.196575557E-2
1.259009875E0,-1.135546639E-2,8.446650188E-3,-1.080565453E-3,1.419366542E-2
1.269041875E0,-2.230173731E-3,2.444748273E-3,3.410680890E-3,4.752179829E-3
1.279073875E0,3.828555811E-5,9.034359315E-3,2.197208226E-2,2.375696767E-2
1.289105875E0,-1.092954241E-3,7.717602896E-3,1.448764622E-2,1.645137795E-2
1.299137875E0,-9.780199081E-4,1.723325201E-2,1.029694676E-2,2.009897039E-2
1.309169875E0,-6.117060087E-3,4.572878955E-3,2.065236568E-3,7.911690598E-3
1.319201875E0,-7.784594628E-3,-1.547438214E-3,1.119566381E-2,1.372360618E-2
1.329233875E0,-4.946557148E-3,5.410547415E-3,9.400568604E-3,1.192112164E-2
1.339265875E0,3.236680543E-3,1.195171793E-2,1.568866432E-2,1.998634160E-2
1.349297875E0,5.519785280E-3,-3.489006171E-3,1.015076637E-2,1.206976601E-2
1.359329875E0,-2.541711554E-5,1.027500143E-2,2.077866554E-2,2.318036329E-2
1.369361875E0,-6.297314214E-3,8.102998361E-3,8.955010772E-3,1.362009422E-2
1.379393875E0,2.230945746E-3,-4.963308508E-3,9.556689262E-3,1.099735695E-2
1.389425875E0,5.341157410E-4,8.344159462E-4,2.841746807E-2,2.843473266E-2
1.399457875E0,-3.123491239E-3,1.652992333E-2,1.090505719E-2,2.004781373E-2
1.409489875E0,3.394902544E-4,8.872427987E-3,-2.566927671E-3,9.242529399E-3
1.419521875E0,5.595936128E-3,-1.136543406E-2,1.000692487E-2,1.614391953E-2
1.429553875E0,-1.154739667E-2,4.125978090E-3,7.161085010E-3,1.420025365E-2
1.439585875E0,4.734280379E-3,3.347001057E-3,3.718829155E-3,6.888070635E-3
1.449617875E0,-1.259339503E-3,8.586937683E-3,1.623771787E-3,8.829386704E-3
1.459649875E0,1.383318747E-3,-8.234853074E-3,1.449583232E-2,1.672888313E-2
1.469681875E0,4.495832752E-3,4.336815896E-3,8.059217334E-3,1.019664005E-2
1.479713875E0,-6.772432462E-3,1.163730218E-2,8.059802055E-3,1.569245209E-2
1.489745875E0,-1.353437191E-2,7.851960948E-3,2.765733004E-4,1.564956890E-2
1.499777875E0,3.545948002E-3,4.453458712E-3,1.748785257E-2,1.839108559E-2
1.509809875E0,-2.088908656E-3,2.520771213E-3,1.060217142E-2,1.109611940E-2
1.519841875E0,9.790842840E-4,5.730417520E-3,1.135119975E-2,1.275327513E-2
1.529873875E0,4.319872675E-3,3.503861753E-3,1.943614483E-2,2.021638130E-2
1.539905875E0,2.334441463E-3,9.733174676E-3,1.621432900E-3,1.013969185E-2
1.549937875E0,4.236115878E-3,-1.250582384E-3,2.197968364E-2,2.241907953E-2
1.559969875E0,5.320107434E-3,1.657877499E-2,1.779073834E-2,2.489316561E-2
1.570001875E0,8.214977109E-3,1.470713608E-2,1.390000105E-2,2.184023191E-2
1.580033875E0,-2.207342181E-3,4.837885732E-3,1.270190656E-2,1.377010995E-2
1.590065875E0,-3.355662245E-4,-1.710931845E-3,-2.117861509E-3,2.743215238E-3
1.600097875E0,1.376932035E-2,5.415654592E-3,2.523073554E-3,1.500964349E-2
1.610129875E0,9.792533051E-3,7.346871151E-3,8.959688544E-3,1.517057145E-2
1.620161875E0,-2.970664208E-3,1.763830874E-3,6.714942455E-3,7.551582441E-3
1.630193875E0,2.842669571E-3,-1.653894084E-3,8.660311103E-3,9.263753253E-3
1.640225875E0,7.601640732E-3,7.902539363E-3,1.973727643E-2,2.257864370E-2
1.650257875E0,7.087222799E-3,1.066273578E-2,-2.714862227E-3,1.308790046E-2
1.660289875E0,-2.643293221E-3,-1.203293027E-3,7.165178061E-3,7.731409303E-3
1.670321875E0,-2.816124125E-3,1.476851357E-3,1.674525619E-2,1.704450791E-2
1.680353875E0,1.418584767E-3,1.797529109E-2,1.345093489E-2,2.249558005E-2
1.690386875E0,-5.905075679E-3,4.487473061E-3,3.570894599E-3,8.231562518E-3
1.700417875E0,-9.428041382E-4,4.765298031E-3,1.195404768E-2,1.290334069E-2
1.710450875E0,-1.023886290E-2,2.303017247E-3,1.854152083E-2,2.130554380E-2
1.720482875E0,4.574811277E-3,2.230566591E-3,1.075887680E-2,1.190200637E-2
1.730514875E0,-1.238366728E-2,9.969849866E-3,7.914791107E-3,1.775942116E-2
1.740546875E0,-1.452530595E-4,7.151482785E-3,-1.366494298E-3,7.282314958E-3
1.750578875E0,1.619039197E-4,-3.841986135E-3,1.016070664E-2,1.086402456E-2
1.760610875E0,-4.603051501E-3,8.966248389E-4,1.330533922E-2,1.410758912E-2
1.770642875E0,9.642218496E-3,1.949379472E-3,7.018412948E-3,1.208431124E-2
1.780674875E0,3.478179686E-4,1.251978407E-2,1.779892445E-3,1.265045404E-2
1.790706875E0,1.075502586E-2,5.149048967E-3,1.465429187E-2,1.889263234E-2
1.800738875E0,1.903588464E-3,-7.958974130E-4,6.720204949E-3,7.029811967E-3
1.810770875E0,-6.688406146E-3,-6.395583982E-3,2.677440047E-3,9.633636720E-3
1.820802875E0,-8.010278880E-3,1.309017995E-3,2.229543328E-3,8.417182385E-3
1.830834875E0,6.530960728E-3,2.724062456E-3,8.366196156E-3,1.095751808E-2
1.840866875E0,8.218901139E-4,1.085005682E-3,3.425883651E-3,3.686382980E-3
1.850898875E0,-3.313151160E-3,-1.557835294E-3,1.525246203E-2,1.568570749E-2
1.860930875E0,6.469130991E-3,6.396205248E-3,1.046476185E-2,1.386623013E-2
1.870962875E0,-2.241283441E-3,1.195206511E-2,1.780126333E-2,2.155829743E-2
1.880994875E0,6.059670579E-3,8.937706668E-3,1.854970694E-2,2.146377962E-2
1.891026875E0,7.724628691E-3,5.849974807E-3,1.495659292E-2,1.782110449E-2
1.901058875E0,-1.983859772E-3,-1.838364601E-3,2.333799183E-2,2.349419390E-2
1.911090875E0,7.131405822E-3,1.566021396E-3,1.480573475E-2,1.650815415E-2
1.921122875E0,-7.521182131E-3,1.754608719E-2,9.416940808E-3,2.128643066E-2
1.931154875E0,-9.484138107E-4,5.758045614E-3,1.196106434E-2,1.330870535E-2
1.941186875E0,7.684004246E-3,1.349848006E-3,-1.809713244E-3,8.008812204E-3
1.951218875E0,-3.215904655E-3,8.820268996E-3,-4.619300365E-4,9.399604634E-3
1.961250875E0,-1.254835320E-2,7.323400062E-3,1.782816052E-3,1.463802546E-2
1.971282875E0,4.731311090E-4,7.940363539E-3,5.225656629E-3,9.517390051E-3
1.981314875E0,3.965819199E-3,7.067821920E-4,1.046593130E-2,1.121440952E-2
1.991346875E0,-7.508683708E-3,8.355707712E-3,1.690137684E-2,2.029420414E-2
2.001378875E0,-1.895744973E-3,6.821224736E-3,1.181312978E-2,1.377218179E-2
2.011410875E0,-1.040470912E-3,9.957954437E-3,1.435783803E-2,1.750402666E-2
2.021442875E0,-1.579830875E-3,4.224183904E-3,7.172779441E-3,8.472801199E-3
2.031474875E0,2.945114616E-3,4.451677138E-3,1.645464957E-2,1.729874625E-2
2.041506875E0,-7.285932200E-3,1.591018243E-3,1.570737541E-2,1.738786327E-2
2.051538875E0,-4.566177498E-3,1.565327039E-3,4.780683517E-3,6.793758943E-3
2.061570875E0,-1.065480093E-2,4.202064984E-3,2.184636712E-2,2.466669596E-2
2.071602875E0,2.566836309E-5,-4.508714899E-3,2.454134881E-2,2.495209351E-2
2.081634875E0,-1.368243895E-3,6.308844192E-3,9.574230909E-3,1.154727257E-2
2.091666875E0,1.540914914E-3,8.329358697E-3,3.438162804E-3,9.141859687E-3
2.101698875E0,3.483528974E-3,2.495006919E-3,6.431937218E-3,7.728508913E-3
2.111730875E0,5.088776965E-3,1.478941737E-2,1.137341917E-2,1.933848961E-2
2.121762875E0,-3.852776075E-3,4.984632572E-3,6.135483384E-3,8.794009422E-3
2.131794875E0,6.505187298E-3,-5.880014878E-3,5.089416504E-3,1.013874731E-2
2.141826875E0,-1.647934949E-2,1.389992796E-3,1.797434092E-3,1.663525800E-2
2.151858875E0,-1.285905505E-2,1.047435494E-2,1.751358032E-2,2.412038358E-2
2.161890875E0,-3.479125290E-3,9.891981399E-3,-5.539067388E-3,1.185904196E-2
2.171922875E0,2.890826873E-3,-6.105562085E-3,-2.246500254E-3,7.119096275E-3
2.181954708E0,8.256908040E-3,4.539394509E-3,1.032676756E-2,1.397944066E-2
2.191986708E0,7.591462922E-3,7.346871151E-3,1.646458983E-2,1.956245239E-2
2.202018708E0,4.595440985E-3,-7.322276300E-3,2.050618529E-2,2.225393096E-2
2.212050708E0,-5.517112920E-3,3.065731712E-3,2.691473365E-3,6.861579612E-3
2.222082708E0,2.208744599E-3,1.210764673E-2,6.433106661E-3,1.388735120E-2
2.232115708E0,-3.319706437E-3,8.181104371E-3,8.828710914E-3,1.248587426E-2
2.242147708E0,1.253743535E-3,4.086070843E-3,1.167221189E-2,1.243013991E-2
2.252179708E0,3.109421376E-3,8.138017701E-3,9.274853468E-3,1.272472948E-2
2.262211708E0,-2.265645317E-3,-2.268454721E-3,1.421341181E-2,1.457052198E-2
2.272243708E0,5.644120839E-3,-2.379670590E-3,5.680570006E-3,8.353909729E-3
2.282275708E0,-1.028222366E-2,6.559022795E-4,1.301414788E-2,1.659886671E-2
2.292307708E0,-1.069130035E-2,3.064425224E-3,8.373797536E-3,1.392174882E-2
2.302339708E0,-4.549083528E-3,4.956593346E-3,1.511095941E-2,1.654095139E-2
2.312371708E0,-1.286588442E-3,5.228717281E-3,4.783607125E-3,7.202616979E-3
